first,last,Rank,linkedin,Growth,Jan 24,title,company,location,Jul 23,Total Ranking,Top Voice,Followers Added
Anthony,Natoli,29,linkedin.com/in/anthony-natoli,24%,40695,Senior Account Executive,LinkedIn,"New York, New York",32815,78,,7880
Brandon,Fluharty,30,https://www.linkedin.com/in/brandonfluharty/,11%,76111,Content Creator,brandonfluharty.com,"Sarasota, Florida",68357,26,Top Voice,7754
Tom,Boston,31,https://www.linkedin.com/in/tom-boston/,21%,43475,Brand Awareness Manager,Salesloft,United Kingdom,36010,73,Top Social Selling Voice,7465
Eric,Nowoslawski,32,https://www.linkedin.com/in/outboundphd/,42%,24779,Growth,Clay,"New York",17443,136,Top Lead Generation Voice,7336
John,Barrows,33,https://www.linkedin.com/in/johnbarrows/,2%,394387,CEO,JB Sales,"Boston, Massachusetts",387802,1,,6585
Will,Allred,34,https://www.linkedin.com/in/williamallred/,9%,75900,Co-founder,Lavender,"Atlanta, Georgia",69408,27,Top Voice,6492
Marcus,Chan,35,https://www.linkedin.com/in/marcuschanmba/,9%,75040,Author of Six-Figure Sales Secrets,"The Ultimate Guide to Overfilling Your Pipeline, Closing More, and Earning in the Top 1%","Portland, Oregon",68688,30,Top Voice,6352
Alex,Alleyne,36,https://www.linkedin.com/in/alexalleyne/,18%,41120,Founder & CEO,Fetched.ai,"London, England",34786,76,,6334
Leslie,Venetz,37,https://www.linkedin.com/in/leslievenetz/,21%,34574,Founder,Sales Team Builder,"Chicago, Illinois",28494,96,Top Voice,6080
Ben,Goodey,38,https://www.linkedin.com/in/benjamingoodey/,18%,38417,Founder,How the F*ck,"London, England",32501,85,,5916
Nick,Cegelski,39,https://www.linkedin.com/in/nick-cegelski/,11%,55376,Founder,30 Minutes to President’s Club,"Los Angeles, California",49734,46,Top Voice,5642
Alexine,Mudawar,40,https://www.linkedin.com/in/alexine-mudawar/,19%,34416,Chief Executive Officer,Women in Sales,"Chicago, Illinois",28955,97,Top Voice,5461
Jed,Mahrle,41,https://www.linkedin.com/in/outboundsales/,16%,38513,Founder,Practical Prospecting,"Detroit, Michigan",33154,84,Top Social Selling Voice,5359
Armand,Farrokh,42,https://www.linkedin.com/in/armand-farrokh/,11%,52486,Founder x Host,30 Minutes to President's Club,"San Francisco, California,",47142,54,,5344
Will,Aitken,43,https://www.linkedin.com/in/justwillaitken/,12%,48056,Chief Vice Directing President of Managing Things,WillAitken.com,"Halifax, Nova Scotia, Canada",42771,59,,5285
Noah,Kagan,44,https://www.linkedin.com/in/noahkagan/,7%,82135,Chief Sumo & CEO,AppSumo,"Austin, Texas",76903,20,,5232
Scott,Leese,45,https://www.linkedin.com/in/scottleese/,5%,108574,CEO & Founder,Scott Leese Consulting,"Austin, Texas",103422,16,Top Strategy Voice,5152
Daniel,Disney,46,https://www.linkedin.com/in/danieldisney/,4%,125997,"International Keynote Speaker / LinkedIn, Social Selling & Sales Navigator Trainer",Daniel Disney - Speaker/Trainer/Author,"London, England",120937,12,,5060
Mark,Kosoglow,47,https://www.linkedin.com/in/mkosoglow/,11%,46868,Chief Revenue Officer (CRO),Catalyst Software,"State College, Pennsylvania",42096,62,,4772
Amy,Volas,48,https://www.linkedin.com/in/amyvolas/,6%,78595,Founder & CEO,Avenue Talent Partners,"Grand Rapids, Michigan",73834,22,Top Voice,4761
Wayne,Morris,49,https://www.linkedin.com/in/waynemorris/,27%,22108,Founder,Wayne Morris Consulting,"San Francisco, California",17441,151,Top Voice,4667
Ben,Wright,50,https://www.linkedin.com/in/benji-wright/,35%,17901,Strategic Advisor,Sendspark,"Salt Lake City, Utah",13239,185,,4662
Belal,Batrawy,51,https://www.linkedin.com/in/belbatrawy/,8%,63315,Founder,DeathtoFluff,"Atlanta, Georgia",58675,39,,4640
Kyle,Willis,52,https://www.linkedin.com/in/kylejwillis/,13%,39138,Founder,8STR8,"Huntington Beach, California",34658,81,Top Voice,4480
Hannah,Ajikawo,53,https://www.linkedin.com/in/hannah-ajikawo/,24%,23166,CEO & Founder,Revenue Funnel,"London, England",18709,144,Top Voice,4457
Amelia,Taylor,54,https://www.linkedin.com/in/tayloramelia/,21%,25654,Founder,At the Revenue Table,"Tampa, Florida",21216,129,Top Influencer Marketing Voice,4438
Jeb,Blount,55,https://www.linkedin.com/in/jebblount/,6%,73410,CEO,"Sales Gravy, Inc.","Thomson, Georgia",69000,32,,4410
Benjamin,Dennehy,56,https://www.linkedin.com/in/benjamindennehy/,9%,52002,UK's Most Hated Sales Trainer® ,Let's Pretend I Could Ltd,"Bournemouth, England",47670,55,,4332
Jake,Dunlap,57,https://www.linkedin.com/in/jakedunlap/,6%,76981,Chief Executive Officer,Skaled Consulting ,"Austin, Texas",72673,25,Top Voice,4308
Charlotte,Johnson,58,https://www.linkedin.com/in/charlotte-johnson-932524109/,10%,45691,Account Executive,Salesloft,"London, England",41447,65,,4244
Mor,Assouline,59,https://www.linkedin.com/in/morassouline/,20%,25476,Founder,FDTC SaaS Sales Consulting & Training,"Miami, Florida",21260,131,,4216
Nate,Stoltenow,60,https://www.linkedin.com/in/natestoltenow/,14%,33856,CRO & Founder,Humble Co.,"Salt Lake City, Utah",29660,99,,4196
Andy,Laws,61,https://www.linkedin.com/in/andy-laws-a9320457,69%,10270,Senior Business Development Manager,Braze,"London, England",6081,276,,4189
Shari,Levitin,62,https://www.linkedin.com/in/sharilevitin/,7%,62865,Passionate Global Sales Leader| Empowering Businesses with the Tools to Increase Profit & Grow | CEO,Levitin Group,"Salt Lake City, utah",58710,41,,4155
Dale,Dupree,63,https://www.linkedin.com/in/copierwarrior/,6%,73249,Founder and CSO,The Sales Rebellion,"Knoxville, TN",69096,33,,4153
Dom,Odoguardi,64,https://www.linkedin.com/in/odoguardi/,257%,5562,Head of GTM,Trellus,Boston,1554,360,,4008
Stephan,Hamilton,65,https://www.linkedin.com/in/stephan-hamilton-5774511ab/,14%,32855,Co-founder,The SDR Newsletter,"New York, New York",28887,105,Top Sales Development Voice,3968
Brandon,Baker,66,https://www.linkedin.com/in/brandon-baker-b09579156/,45%,12344,Senior Account Executive,Mathison,"San Francisco, California",8489,246,Top Sales Voice,3855
Ricky,Pearl,67,https://www.linkedin.com/in/rickypearl/,29%,16366,Co-Founder,Pointer,"Melbourne, Victoria, Australia",12668,201,Top Sales Operations Voice,3698
Becc,Holland,68,https://www.linkedin.com/in/becc-holland-8950943a/,8%,49124,CEO & Founder,Flip the Script,"San Francisco, California",45432,58,,3692
Sahil,Mansuri,69,https://www.linkedin.com/in/sahilmansuri/,5%,72065,CEO,Bravado,"San Francisco, California",68396,34,,3669
Dan,Martell,70,https://www.linkedin.com/in/dmartell/,9%,46185,Founder & CEO,SaaS Academy,"Kelowna, British Columbia, Canada",42516,64,,3669
David,Weiss,71,https://www.linkedin.com/in/davidlbweiss/,23%,19085,Chief Revenue Officer,The Sales Collective,"Houston, Texas",15470,171,,3615
Jesse,Ouellette,72,https://www.linkedin.com/in/jesseoue,10%,38225,Founder,LeadMagic,"Boston, MA",34684,86,Top Voice,3541
Thibaut,Souyris,73,https://www.linkedin.com/in/thibautsouyris/,11%,36540,CEO & Founder,SalesLabs,"Berlin, Germany ",33006,88,Top Voice,3534
Elric,Legloire,74,https://www.linkedin.com/in/elriclegloire/,14%,28944,SDR Manager,Agorapulse,Mexico City,25444,113,,3500
Jordan,Crawford,75,https://www.linkedin.com/in/jordancrawford,31%,14648,Founder,Blueprint,"San Francisco, California",11175,220,,3473
Jan,Benedikt Mundorf,76,https://www.linkedin.com/in/jan-b-mundorf/,25%,17047,Account Executive,Pleo,"Stockholm, Stockholm County, Sweden",13594,190,Top Sales Prospecting Voice,3453
Tito,Bohrt,77,https://www.linkedin.com/in/titobohrt/,7%,54001,CEO,AltiSales,"Miami, Florida",50637,50,Top Lead Generation Voice,3364
Skye,Snayd,78,https://www.linkedin.com/in/skyesnayd/,44%,11060,Co-Founder & CEO,Skyeline Consulting,"Sandy, Utah",7700,266,,3360
Jacco,van der Kooij,79,https://www.linkedin.com/in/jaccovanderkooij/,10%,36126,Founder,Winning by Design,"San Francisco, California",32792,90,,3334
Kevin,Gaither,80,https://www.linkedin.com/in/kevingaither/,24%,16810,CRO and Founder,Inside Sales Expert,"Los Angeles, California",13576,192,,3234
Michael,Pyle,81,https://www.linkedin.com/in/michael-e-pyle-8a8b2546,70%,7857,Managing Partner,Challenge Everything Financial,Kansas City,4628,325,,3229
Scott,Brinker,82,https://www.linkedin.com/in/sjbrinker/,9%,38739,VP Platform Ecosystem,HubSpot,"Cambridge, Massachusetts",35516,83,,3223
Sangram,Vajre,83,https://www.linkedin.com/in/sangramvajre/,8%,45336,co-founder and CEO,GTM Partners,"Atlanta, GA",42117,67,,3219
Gabi,Sayah,84,https://www.linkedin.com/in/gabisayah,12%,28862,Business Development Manager,Deeto,"New York, New York",25659,114,,3203
Sarah,Brazier,85,https://www.linkedin.com/in/sjbrazier/,5%,62114,Advisor,SecondBody,"New York, New York",58927,42,,3187
Mattia,Schaper,86,https://www.linkedin.com/in/mattiaschaper/,11%,33116,Co-Founder,SDRs of Germany,"London, England",29940,102,,3176
Chris,Cicconi,87,https://www.linkedin.com/in/christophercicconi/,24%,16426,Live Event Host & Content Creator," 983 Media Productions, LLC ","Montreal, Quebec, Canada",13274,199,,3152
Matt,Green,88,https://www.linkedin.com/in/matthewcorneliusgreen/,17%,21627,CRO,Sales Assembly,"Chicago, Illinois",18502,154,,3125
Christina,Brady,89,https://www.linkedin.com/in/christinapbrady/,23%,16571,CEO & Co-Founder,Stealth Startup,Chicago,13502,197,,3069
Blake,Harber,90,https://www.linkedin.com/in/blakejharber,9%,35895,Founder - Full Time Fractional VP of Sales,Blake Harber Consulting,"Salt Lake City, Utah",32873,91,,3022
Amit,Bendov,91,https://www.linkedin.com/in/amitbendov,7%,45315,CEO and Co-Founder,Gong,"San Francisco, California",42318,68,,2997
Matthew,Volm,92,https://www.linkedin.com/in/matthewvolm,14%,23878,CEO,RevOps,"Madison, Wisconsin",20885,141,,2993
Mark,Roberge,93,https://www.linkedin.com/in/markroberge/,6%,50858,Co-Founder,Stage 2 Capital,"Marblehead, Massachusetts",48005,56,,2853
Harry,Sims,94,https://www.linkedin.com/in/harry-sims77777,44%,9167,SDR Leader,Scratchpad,"Nashville, TN",6348,296,,2819
Neil,Weitzman,95,https://www.linkedin.com/in/neilweitzman,28%,12589,Founder,revenue•x,Toronto,9852,245,,2737
Gabrielle,Blackwell,96,https://www.linkedin.com/in/gabrielleblackwell/,10%,29811,Sales Development Manager,Culture Amp,"Huntington Beach, California",27078,111, Top Voice,2733
Ronen,Pessar,97,https://www.linkedin.com/in/rpessar/,11%,26913,"Founder, B2B Sales Development Consultant & Trainer",Ronen Pessar Advisory,"San Diego, California",24321,121,,2592
Meridith,Powell,98,https://www.linkedin.com/in/meridithelliottpowell/,6%,44928,"Business Motivational Speaker, Award-Winning Author, Business Strategist",MotionFirst,"Asheville, North Carolina",42339,70,,2589
Darin,Alpert,99,https://www.linkedin.com/in/darinalpert,8%,32975,Enterprise Account Executive,ZoomInfo ,"Raleigh, North Carolina",30405,103, Top Voice,2570
Tom,Alaimo,100,https://www.linkedin.com/in/tomalaimo/,11%,25669,Founder,TA Sales,"Chicago, Illinois",23133,127,,2536
Sam,Nelson,101,https://www.linkedin.com/in/realsamnelson/,4%,71152,Founder,SDRLeader,"Seattle, WA",68621,35,,2531
Jim,Keenan,102,https://www.linkedin.com/in/jimkeenan/,3%,75132,CEO/President,A Sales Growth Company,"Denver, Colorado",72606,29,,2526
Tom,Slocum,103,https://www.linkedin.com/in/tomslocum,11%,24780,Founder | CEO,SD Lab,"Queen Creek, Arizona",22325,135, Top Voice,2455
Mike,Weinberg,104,https://www.linkedin.com/in/mikeweinberg2013/,5%,47453,Principal,"The New Business Sales Coach, LLC","St Louis, Missouri",45007,61,,2446
Anthony,Iannarino,105,https://www.linkedin.com/in/iannarino/,5%,55002,Keynote Speaker & Workshop Facilitator,Iannarino,"Westerville, Ohio",52561,48,Top Voice,2441
Matt,Heinz,106,https://www.linkedin.com/in/mattheinz,5%,53752,Founder/President,Heinz Marketing,"Redmond, Washington",51341,51,,2411
Carson,Heady,107,https://www.linkedin.com/in/carsonvheady/,6%,39659,"Managing Director, Health Solutions - U.S. Health & Life Sciences",Microsoft,"St Louis, Missouri",37256,80,,2403
Sydney,Senior,108,https://www.linkedin.com/in/sydney-senior/,47%,7264,SMB AE,Deel,"Miami, Florida",4938,334,,2326
Jeremey,Donovan,109,https://www.linkedin.com/in/jeremeydonovan/,5%,47965,"Executive Vice President, Revenue Operations (RevOps) and Strategy",Insight Partners,"New York, New York",45669,60,,2296
Dan,Cmejla,110,https://www.linkedin.com/in/greatmarketing/,27%,10653,VP of Community,Apollo,"Burlington, Vermont",8379,270,,2274
Justin,Michael,111,Linkedin.com/in/michaeljustin ,4%,54110,Co-Founder,HYPCCCYCL ,"Los Angeles, California",51861,49,Top Voice,2249
Nishit,Asnani,112,https://www.linkedin.com/in/nishitasnani/,24%,11454,Co-founder,Sybill,San Francisco,9212,254,,2242
Alex,Boyd,113,https://www.linkedin.com/in/alexcboyd/,12%,20615,Founder,RevenueZen,"Portland, Oregon",18404,160,,2211
Jared,Robin,114,https://www.linkedin.com/in/jaredrobin/,5%,43366,Co-Founder,RevGenius,"New York, New York",41157,75,,2209
Rohan,Suri,115,https://www.linkedin.com/in/surirohan/,39%,7863,Founder,Nooks,Stanford,5654,324,,2209
Cherilynn,Castleman,116,https://www.linkedin.com/in/cherilynn-castleman/,24%,11421,Managing Partner,CGI Executive Coaching,United States,9215,255,,2206
Clint,Hinkle,117,https://www.linkedin.com/in/clinthinkle/,12%,20925,Account Executive,ZoomInfo,,18729,159,Top Voice,2196
Alon,Evan,118,https://www.linkedin.com/in/alon-even/,11%,22381,Marketing Advisor & Fractional CMO, Alon Even | Marketing Advisor & Fractional CMO ,"Kfar Sava, Center District, Israel",20190,150,,2191
Eddy,Bahnam,119,https://www.linkedin.com/in/eddybahnam/,17%,14525,Regional Sales Director,Fransyl,"Ottawa, Ontario, Canada",12424,221,,2101
Adam,Jay,120,https://www.linkedin.com/in/adambjay,17%,14496,CEO,Adam Jay Consulting,Miami,12403,222,,2093
Elizabeth,Andrew,121,https://www.linkedin.com/in/elizabethaandrew/,19%,13131,Founder/President,SalesCompete,San Francisco,11042,236,,2089
Todd,Caponi,122,https://www.linkedin.com/in/toddcaponi,10%,23696,Founder,SalesMelon,"Palatine, IL",21615,142,Top Sales Voice,2081
Morgan,Smith,123,https://www.linkedin.com/in/morganjsmith/,30%,8896,Principal,Tempo,"Denver, CO",6839,304,,2057
Avi,Mesh,124,https://www.linkedin.com/in/avi-mesh-ba667a49/,11%,20409,"Enterprise Account Executive, Growth",MongoDB,"New York, New York",18369,161,,2040
Julia,Ewert,125,https://www.linkedin.com/in/juliaewert-sales-strategist-professional-negotiator/,38%,7318,"Sales Strategist, Professional Negotiator",Julia Ewert Pty Ltd,"Perth,Australia",5292,332,Top Negotian Voice,2026
Donald,Kelly,126,https://www.linkedin.com/in/donaldckelly/,12%,18548,Founder and The Chief Sales Evangelist,The Sales Evangelist,"West Palm Beach, Florida",16526,175,Top Voice,2022
Alex,Newmann,127,https://www.linkedin.com/in/alexnewmann/,15%,15718,Founder & CEO,Newmann Consulting Group,"Chicago,IL",13720,207,,1998
Niraj,Kapur,128,https://www.linkedin.com/in/nkapur/,7%,31774,Managing Director,Everybody Works In Sales,"Belfast, Northern Ireland",29783,106, Top Voice,1991
Ajinkya,Nene,129,https://www.linkedin.com/in/ajinkya-nene-6200b871,21%,11250,Co-Founder,Trellus,"New York, NY",9276,259,,1974
Liz,Simpson,130,https://www.linkedin.com/in/lizjsimpson/,13%,16868,Founder & CEO,Stimulyst,"San Antonio, Texas",14895,191,,1973
Lori,Richardson,131,https://www.linkedin.com/in/scoremoresales/,6%,34909,B2B Sales / Revenue Growth Strategist,Score More Sales,"Phoenix, Arizona",32941,94,,1968
Heidi,Briones,132,LinkedIn.com/in/heidibriones,26%,9288,BDR,Experian Employer Services,"Portland, OR",7376,293,,1912
Maria,Bross,133,https://www.linkedin.com/in/mariabross/,18%,12254,N/A,Sales Assembly,"Charleston, South Carolina",10350,247,Top Voice,1904
Jeffrey,Hoffman,134,https://www.linkedin.com/in/mjhoffman/,14%,15624,Founder and Chief Closer,sellHoffman,"West Tisbury, Massachusetts",13743,208,Top Sales Voice,1881
Steve,Schmidt,135,https://www.linkedin.com/in/stevenwschmidt,6%,32939,Chief Executive Officer,MAGNETIC ,"Sioux Falls, South Dakota",31076,104,,1863
Jordan,Henderson,136,https://www.linkedin.com/in/jordanmichaelhenderson/,12%,17918,Director of Revenue Operations,The Riverside Company,"Dallas, Texas",16062,184,,1856
David,Zeff,137,https://www.linkedin.com/in/davidzeff/,11%,18135,CEO,Whistle,"Tel Aviv-Yafo, Tel Aviv District, Israel",16337,179,,1798
Brandon,Bornancin,138,https://www.linkedin.com/in/brandonbornancin/,2%,75694,CEO,Seamless.ai,New York,73921,28,Top Sales Development Voice,1773
Colin,Specter,139,https://www.linkedin.com/in/colinspecter/,19%,11175,VP Sales,Orum,"Huntington, New York",9410,264,,1765
Joey,Alvandi,140,https://www.linkedin.com/in/joey-alvandi/,17%,11965,Account Executive,Tourial,"Los Angeles, California",10216,249,,1749
Hilary,Headlee,141,https://www.linkedin.com/in/hilaryheadlee/,7%,25338,Board Member,"Beth Graczyk Productions, Inc.","San Jose, California",23604,132, Top Voice,1734
Gaetano Nino,DiNardi,142,https://www.linkedin.com/in/officialg,4%,45443,Growth Advisor,DataGrail,"Miami, Florida",43800,66,,1643
Tiffani,Bova,143,https://www.linkedin.com/in/tiffanibova/,4%,46564,Podcast Host ,What's Next,"Los Angeles, California",44954,63,,1610
Aaron,Ross,144,https://www.linkedin.com/in/aaronross/,3%,55446,Sales Growth Coach to Leaders,Aaron-Ross.co,"Edinburgh, Scotland",53845,45,,1601
Mark,Ackers,145,www.linkedin.com/in/markackers/,9%,19237,Co-Founder & Head of Sales,MySalesCoach,"Tyneside Area, England",17640,169,,1597
Mark,Ackers,146,https://www.linkedin.com/in/markackers/,9%,19237,Co-Founder & Head of Sales,www.mysalescoach.com,"Tyneside Area, England",17640,170,,1597
Hector,Forwood,147,https://www.linkedin.com/in/hectorforwood/,12%,14957,Founder & CEO,Flooencer,"Wandsworth, England",13366,217,,1591
Cory,Bray,148,https://www.linkedin.com/in/buy-triangleselling/,9%,20027,Co-Founder,CoachCRM,United States,18439,166,,1588
Collin,Cadmus,149,https://www.linkedin.com/in/collincadmus/,2%,77997,Consultant / Advisor / Coach,"Collin Cadmus, LLC","New York, New York",76417,23,,1580
Collin,Mitchell,150,https://www.linkedin.com/in/collincmitchell/,6%,27418,Managing Partner,Leadium,"Los Angeles, California",25842,119,Top Voice,1576
Patrick,Dang,151,https://www.linkedin.com/in/patrickdangofficial/,6%,25880,Founder,The Parallax,United States,24323,126,,1557
Rebecca,Jenkins,152,https://www.linkedin.com/in/rebeccajenkins-rjen/,13%,13651,Founder | Director,RJEN,"Greater Bristol Area, United Kingdom",12096,229,,1555
Mary,Shea,153,https://www.linkedin.com/in/maryshea/,17%,10735,Co-Chief Executive Officer,Mediafly,"Portland, Maine",9198,269,,1537
Jen,Spencer,154,https://www.linkedin.com/in/jenspencer/,10%,17180,Chief Executive Officer,SmartBug Media,"Phoenix, AZ",15648,189,,1532
Ashley,Zagst,155,https://www.linkedin.com/in/ashleyzagst/,7%,22104,Account Executive,Apollo.io ,"Portland, Oregon",20576,152,,1528
Alex,Richards,156,https://www.linkedin.com/in/asjruk,25%,7630,Member,Partnership Leaders,New York,6115,329,,1515
Ravi,Rajani,157,https://www.linkedin.com/in/ravirajani/,9%,18075,Founder,Ravi Rajani Consulting,United Kingdom,16587,180,,1488
Steve,Richard,158,https://www.linkedin.com/in/saleskickoffspeaker,5%,31584,SVP Sales Excellence,MediaFly,"Arlington, Virginia",30107,107,,1477
Craig,Bonnoit,159,https://www.linkedin.com/in/craig-bonnoit/,17%,9822,Founder,Trellus,"New York, New York",8383,280,,1439
Justin,Camp,160,https://www.linkedin.com/in/campjustin/,13%,12660,National Account Executive,XINNIX,"Jonesboro, Arkansas",11223,242,,1437
Chantel,George,161,https://www.linkedin.com/in/chantelgeorge/,17%,9646,Founder & CEO,Sistas In Sales,"New York City, New York",8254,285,,1392
Jess,V,162,linkedIn.com/in/jess-v/,12%,12764,Marketing Alliance Manager,Global Technology Solutions Inc,"Orlando, FL",11377,239,,1387
Alexa,Pedowitz,163,https://www.linkedin.com/in/alexarose,33%,5628,Senior Account Executive,CINC Systems,Seattle,4241,359,,1387
Richard,Harris,164,https://www.linkedin.com/in/rharris415/,3%,56361,Founder,The Harris Consulting Group,"San Francisco, California",54986,44,Top Negotiation Voice,1375
James,Ski,165,https://www.linkedin.com/in/jamesski/,4%,35430,CEO and Founder,Sales Confidence,United Kingdom,34065,92,,1365
Neill,Murphy,166,https://www.linkedin.com/in/neilldmurphy,27%,6352,Enterprise Account Executive,Oktopost,London,4987,349,,1365
James,Buckley,167,https://www.linkedin.com/in/jamessaywhatsalesbuckley/,5%,31357,Host & Sales Content Creator,Sell Better by JB Sales,"Maryville, Tennessee",30005,109,,1352
Lee,Salz,168,https://www.linkedin.com/in/leesalz/,6%,23037,Sales Management Strategist | Keynote Speaker | Consultant,Sales Architects,"Minneapolis-St, Minnesota ",21697,145,,1340
Katie,Mullen,169,https://www.linkedin.com/in/katiefmullen/,5%,28841,CEO,MMS Consulting LLC,"Kansas City, Missouri",27542,115,,1299
Shelton,Banks,170,https://www.linkedin.com/in/sheltonbanks/,5%,26699,Chief Executive Officer,re:work training,"Chicago, Illinois",25403,124,,1296
Cynthia,Barnes,171,https://www.linkedin.com/in/cynthiabarnes/,4%,34798,Chief Empowerment Officer,"Cynthia Barnes, Keynote Speaker","Raleigh-Durham, NC",33511,95,Top Voice,1287
John,Karsant,172,https://www.linkedin.com/in/johnkarsant/,13%,11180,Founder and CEO,LevelUp Leads,"San Francisco, California",9897,263,,1283
Timothy,Hughes,173,https://www.linkedin.com/in/timothyhughessocialselling/,4%,33659,CEO and Co Founder,DLA ignite,"London, England, United Kingdom",32385,101,,1274
Brent,Haldiman,174,https://www.linkedin.com/in/brenthaldiman/,19%,7955,Founder,GTM Dart,"Denver, Colorado",6693,320,,1262
Brian,Lewis,175,https://www.linkedin.com/in/brianlewisphd,17%,8693,CRO & Co-Founder,Homerun Presales,"San Francisco, California",7451,309,,1242
Marco,Maria,176,https://www.linkedin.com/in/marcosantamaria/,18%,7912,Sales & Consulting,Marco Santa Maria | Sales & Consulting,"New York, New York",6689,322,,1223
Antoine,Marsden,177,www.linkedin.com/in/antoinemarsden/,12%,11017,Founder,OutboundWorx,"London, England",9803,267,,1214
Mason,Cosby,178,https://www.linkedin.com/in/masoncosby,7%,17926,Founder,Scrappy ABM,"Whitestown, IN",16712,182,,1214
Dini,Mehta,179,https://www.linkedin.com/in/dinimehta/,9%,15292,LP & Operating Partner,Operator Collective,"San Francisco, California",14087,210,,1205
Brynne,Tillman,180,https://www.linkedin.com/in/brynnetillman/,2%,66010,CEO,Social Sales Link,"Neew York, New York",64806,38,Top Content Strategy Voice,1204
David,Dulany,181,https://www.linkedin.com/in/davidkdulany/,7%,19003,Founder & CEO,Tenbound,"San Francisco, California",17800,172,,1203
Dan,Swift,182,https://www.linkedin.com/in/danjswift/,7%,17386,Chief Executive Officer,Empire Selling,"New York, New York",16191,187,,1195
Ed,Armishaw,183,https://www.linkedin.com/in/edarmishaw,9%,15201,Sales Director - Consumer Services,ServiceNow,"St Albans, England",14008,213,Top Sales Voice,1193
Chris,Russell,184,www.linkedin.com/in/crussell83 ,25%,5957,SDR,Allego,"Brighton, England ",4772,355,,1185
Scott,Barker,185,https://www.linkedin.com/in/ssbarker/,3%,43447,Partner & Co-founder,GTMfund,"Vancouver, British Columbia, Canada",42263,74,,1184
Gal,Aga,186,https://www.linkedin.com/in/galaga/,9%,13621,CEO,Aligned,Tel Aviv,12443,230,,1178
Celeste,Berke,187,https://www.linkedin.com/in/celesteberke/,15%,8815,Sales Trainer,Celeste Berke Knisely ,Denver,7646,307,,1169
Larry,"Long, Jr",188,https://www.linkedin.com/in/longjr7/,3%,38825,CEO (Chief Energy Officer) & Keynote Speaker/Emcee,LLJR Enterprises,United States,37659,82,,1166
Nicholas,Loise,189,https://www.linkedin.com/in/nicholasloise/,14%,9199,Founder and Your Chief Sales Officer,Sales Performance Team,"Park Ridge, Illinois",8041,294,,1158
Christine,Rogers,190,https://www.linkedin.com/in/christinerogers2/,7%,18463,COO/President,Aspireship,"Scottsdale, Arizona",17308,176,,1155
Chaniqua,Ivey,191,https://www.linkedin.com/in/nikki-ivey/,5%,26340,Sr. Strategic Account Broker,OppGen,"Fleming Island, Florida",25186,125,Top Voice,1154
Paul,Salamanca,192,https://www.linkedin.com/in/toponepercenter/,4%,30623,Co-Founder & CEO,Top One Percenter Academy,"New York, New York",29485,110,,1138
Jamie,Shanks,193,https://www.linkedin.com/in/jamestshanks/,5%,22870,CEO,Pipeline Signals,"Toronto, Ontario, Canada",21738,147,,1132
Shawn,Kipnis,194,https://www.linkedin.com/in/shawnkipnis/,16%,8326,Enterprise Account Development Executive,OpenText,"San Francisco, California",7202,315,Top Sales Prospecting Voice,1124
Carole,Mahoney,195,https://www.linkedin.com/in/carolemahoney/,16%,8191,Author,Buyer First: Grow Your Business with Collaborative Selling · Contract,United States,7072,316, Top Sales Coaching Voice ,1119
Max,Altschuler,196,https://www.linkedin.com/in/maxaltschuler/,2%,63082,Founder & General Partner,GTMfundGTMfund,"Scottsdale, Arizona",61971,40,,1111
Alice,Heiman,197,https://www.linkedin.com/in/aliceheiman/,4%,28202,Podcast Host,Sales Strategies for CEOs with Alice Heiman,"Reno, Nevada",27097,116,,1105
Sydney,Sloan,198,https://www.linkedin.com/in/sydsloan/,7%,15882,Chief Market Officer,Drata,"San Francisco, California",14784,206,,1098
Peter,Kazanjy,199,https://www.linkedin.com/in/kazanjy/,5%,25275,Founder,Modern Sales Pros,"San Francisco, California",24183,133,,1092
Nick,Phillips,200,https://www.linkedin.com/in/superdadnick/,14%,9124,Sr SDR,People Data Labs,"Sandpoint, Idaho",8036,300,,1088
Luiz,Cent,201,https://www.linkedin.com/in/luizcentenaro,12%,9735,GTM,LuizCent,"St Petersburg, Florida",8669,282,,1066
Randy,Seidl,202,https://www.linkedin.com/in/randyseidl/,4%,28029,Founder,Sales Community,"Naples, Florida",26987,117,,1042
Janet,Efere,203,https://www.linkedin.com/in/janeteferetadpole/,11%,10546,Sales Trainer and Coach,Tadpole Training,"Cheshunt, England",9510,271, Top Sales Voice,1036
Janet,Efere,204,https://www.linkedin.com/in/janeteferetadpole/,11%,10546,Sales Trainer and Coach,Tadpole Training,"Cheshunt, England",9510,272,Top Sales Voice,1036
Steli,Efti,205,https://www.linkedin.com/in/steliefti/,5%,23660,CEO,Close,"New York, New York",22630,143,,1030
Nick,Capozzi,206,https://www.linkedin.com/in/nick-capozzi/,10%,11075,Co-Founder,SpliceVideo,"Phoenix, Arizona",10046,265,Top Video Production Voice,1029
Ashleigh,Early,207,https://www.linkedin.com/in/ashleighearly/,8%,13313,Co-Founder & Co-Host,Across the Pond & Over the Rainbow,"The Randstad, Netherlands",12312,235,Top Voice,1001
Shawn,Sease,208,https://www.linkedin.com/in/shawnsease,6%,16410,Founder,INeverAnswer.com,"Mesa, Arizona",15415,200, Top Cold Calling Voice,995
Dale,Zwizinski,209,https://www.linkedin.com/in/dalezwizinski/,8%,12632,Founder,The Sales Change Agent,"Bradenton, Florida",11658,243,,974
