first,last,Rank,linkedin,Growth,Jan 24,title,company,location,Jul 23,Total Ranking,Top Voice,Followers Added
Jarreau,Gilbert,307,https://www.linkedin.com/in/jarreaugilbert/,13%,2863,Branch Manager,Coastal Business Systems,"Chico, California",2523,396,,340
Eran,Rosenblum,308,Linkedin.com/in/eranr,7%,5324,Founder | Partnerships Acceleration & Strategy,Partner-Now,Israel,4990,362,,334
Phil,Gerbyshak,309,https://www.linkedin.com/in/philgerb/,2%,14749,Group Facilitator,SmartPeople Inc,"Orlando, FL",14426,219,,323
Adam,Smith,310,https://www.linkedin.com/in/admsmth/,10%,3572,CEO & Co-Founder,Workbounce,"London, England",3249,391,,323
Kelly,Riggs,311,https://www.linkedin.com/in/kriggs/,7%,4955,"Founder & President, Chief Sales Officer",The Business Locker Room,"Tulsa, Oklahoma",4635,368,,320
Karl,Becker,312,https://www.linkedin.com/in/karlbeckeriii/,12%,2922,"Sales Performance Consultant, Coach, Author, and Speaker",Improving Sales Performance,"Louisville, Colorado",2606,395,,316
David,McClean,313,https://www.linkedin.com/in/david-mcclean/,2%,20160,Founder & CEO,SDR Systems Group,"Miami, Florida",19844,164,,316
Ian,Moyse,314,https://www.linkedin.com/in/ianmoyse/,1%,37230,Consulting Head of Sales,ChAI,"Wokingham, England",36919,87,,311
Michael,Muhlfelder,315,https://www.linkedin.com/in/michael-muhlfelder-064280/,6%,5215,Fractional VP of Sales / CRO,Calm Ocean Sales,"Boston, MA",4913,363,,302
Christine,Miller,316,https://www.linkedin.com/in/christinemiller1sales/,7%,4551,"Sales Consultant, Sales Trainer, Sales Coach, Owner",Miller Sales Consulting,"Burlington, Vermont",4251,372,Top Account Management Voice,300
Matt,McDarby,317,https://www.linkedin.com/in/mattmcdarby/,7%,4300,President,"United Sales Resources, LLC","Gaithersburg, Maryland",4006,378,,294
Grant,Buckland,318,https://www.linkedin.com/in/grant-buckland-8b0227141/,10%,3104,"Sr Manager, Sales Development",NuORDER by Lightspeed,"New York City, New York",2810,393,,294
Adrian,Barnwell,319,https://www.linkedin.com/in/adriandavidbarnwell/,6%,4790,Sales Excellence Pursuits Coach,Deloitte,"Alton, England, United Kingdom",4498,370,Top Sales Coaching Voice,292
